Collection,Volume (7d),Sales (7d),⏷  Volume (All Time),Sales (All Time),Avg Price (7d),Total Supply,Owners,Owners%,Estimated Market Cap,Added,Compound Score,Positive Score,Neutral Score,Negative Score
Claylings,5.52 ETH,41,"2,934.11 ETH",7907,0.13 ETH,4040,2111,52.25%,543.79 ETH,2021/09/28,0.13380094217024038,0.09081990470002167,0.866008122157245,0.043181286549707605
Crypto.Chicks,13.57 ETH,123,"2,875.55 ETH",10917,0.11 ETH,9999,3413,34.13%,"1,102.83 ETH",2021/09/26,,,,
Waifusion,1.10 ETH,12,"2,838.60 ETH",7694,0.09 ETH,16385,1880,11.47%,"1,495.27 ETH",2021/04/30,,,,
Goons of Balatroon,6.88 ETH,78,"2,826.26 ETH",8318,0.09 ETH,9696,3451,35.59%,854.73 ETH,2021/08/24,,,,
Doge Pound Puppies,27.79 ETH,84,"2,826.09 ETH",4972,0.33 ETH,8068,4624,57.31%,"2,669.35 ETH",2021/09/19,,,,
Rogue Society Bots,1.67 ETH,107,"2,820.59 ETH",14921,0.02 ETH,15777,6900,43.73%,246.90 ETH,2021/09/12,,,,
Axolittles,3.34 ETH,64,"2,798.76 ETH",13774,0.05 ETH,9999,3976,39.76%,522.54 ETH,2021/09/08,,,,
NFT Siblings,6.69 ETH,83,"2,796.90 ETH",9377,0.08 ETH,10100,2477,24.52%,809.68 ETH,2021/08/21,,,,
CryptoHoots Steampunk Parliament,18.03 ETH,55,"2,726.69 ETH",4037,0.33 ETH,2498,954,38.19%,819.09 ETH,2021/10/11,,,,
Space Poggers,1.76 ETH,42,"2,681.32 ETH",13275,0.04 ETH,12441,3356,26.98%,519.89 ETH,2021/08/17,,,,
The Project URS,2.80 ETH,60,"2,675.93 ETH",10170,0.05 ETH,9983,3697,37.03%,466.34 ETH,2021/09/14,,,,
FameLadySquad,10.57 ETH,80,"2,638.01 ETH",15017,0.13 ETH,8888,3591,40.40%,"1,173.96 ETH",2021/07/13,,,,
MarsCatsVoyage,12.88 ETH,133,"2,628.26 ETH",9028,0.10 ETH,10000,3461,34.61%,968.22 ETH,2021/09/23,,,,
Ready Player Cat NFT,2.48 ETH,20,"2,624.97 ETH",4411,0.12 ETH,4949,1806,36.49%,607.31 ETH,2021/08/25,,,,
Chubbies,0.97 ETH,24,"2,522.44 ETH",5926,0.04 ETH,9999,2807,28.07%,390.92 ETH,2021/04/30,,,,
Crazy Lizard Army,0.56 ETH,15,"2,517.45 ETH",10788,0.04 ETH,6283,1895,30.16%,232.47 ETH,2021/07/30,,,,
Purrnelopes Country Club,12.04 ETH,48,"2,505.23 ETH",8348,0.25 ETH,10000,3032,30.32%,"2,509.23 ETH",2021/07/23,,,,
0xVampire Project,0.28 ETH,34,"2,500.27 ETH",13519,0.01 ETH,9860,4292,43.53%,81.84 ETH,2021/09/21,,,,
Obits Official,9.37 ETH,77,"2,478.93 ETH",11015,0.12 ETH,7132,3005,42.13%,871.86 ETH,2021/10/07,,,,
Chill Frogs NFT,10.05 ETH,53,"2,378.36 ETH",9450,0.19 ETH,6000,2427,40.45%,"1,128.08 ETH",2021/08/27,,,,
Crypto Hobos,6.23 ETH,100,"2,340.65 ETH",10776,0.06 ETH,7981,3070,38.47%,502.37 ETH,2021/09/23,,,,
